S.no,User name,followers,Text,Url,Bio
1,"""Babu84700""",363,"""Quelle vie de cancer \ud83d\ude31 https://t.co/Ao2hrnSA9U""","""http://www.youtube.com/babu84700""","""Souvent immit\u00e9, jamais \u00e9gal\u00e9. Since 1998. Mon p\u00e9ch\u00e9 mignon : les ordinateurs \ud83d\udc4c\ud83c\udffc"""
2,"""DatNumbaPhive""",1972,"""RT @TheReachTV: R.I.P. to actor Robert Guillaume who died at 89 today from prostate cancer https://t.co/ViqkNMHrwr""","""http://on.fb.me/gzMJDL""","""Kobe Jr. ~ Ausar's Mommy~Mommy #2 M, Z & D ~ Wife ~ #TeamAlwaysHungry *Divine Being* #TeamZPhiB #RustCollege #TeamHBCU #astategradfam"""
3,"""MyAid4You""",4733,"""https://t.co/gRpOovRZaJ Cancer patients benefit from video consultations in Wirral - #DigitalHealth""","""http://myaid4you.com""","""My personal #healthcare data box everywhere everytime for me and who takes care of me with #DigitalHealth"""
4,"""onlaeri""",387,"""RT @xuhulk: Was just reminded that the word for \""toxic masculinity\"" in Chinese is \u76f4\u7537\u764c, or \""straight man cancer\"" \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d""",null,"""\u6bce\u65e5\u304c\u5c11\u5973\u306e\u65e5"""
5,"""RichPaxman""",1124,"""New technology may help prevent breast cancer patients from losing hair https://t.co/dS5UrZg4tB""","""http://www.paxmanscalpcooling.com""",null
6,"""marliesiaortiz""",1294,"""RT @CancerTweetss: #Cancer's hang on to so much shit it's ridiculous.""","""http://www.instagram.com/marliesiaortiz""","""Nothin but a G thang"""
7,"""laurenkloch""",41,"""RT @Alt_FedEmployee: Trump admitting to sexual assault\nGOP: So?\nTrump stole from a kid's cancer charity\nGOP: So?\nTrump mocked a disabled\u2026 """,null,null
8,"""gentleojay""",4480,"""RT @AfrYPoD: Free cancer screening in Enugu Nigeria. Opportunity for early detection and treatment. https://t.co/PpaGFbwyzL""","""http://www.onyelukaojugo.com""","""Consultant, Compere, MC, Sports lover, Music fanatic, advocacy Agent, development worker, worker at the Baptizing Church"""
9,"""OnibokunAlex""",2047,"""RT @UwaAiremen: @Gidi_Traffic @iamfatdon Hunger is in the land, the one we  manage to eat now has cancer? Something must kill a man!""",null,"""Hi, my name Is Alex, I am a social media/web designer based in Lagos. \n\nI run social media campaigns (trend) should you want your event to go viral."""
10,"""pankoma""",146,"""RT @xuhulk: Was just reminded that the word for \""toxic masculinity\"" in Chinese is \u76f4\u7537\u764c, or \""straight man cancer\"" \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d""",null,"""be nice or gtfo\n\u2662\u2662\u2662 \n\u8003\u3048\u72ec\u697d \u2665 SHINee + f(\u00d7) \u2665 KEY & ONEW \u2665 SHINee World Concert in EUROPE or die!\n\u2662\u2662\u2662\ni'm old, write slowly please"""
11,"""FrickenSiddoh""",3596,"""Deff a cancer https://t.co/7Q43GEEoay""",null,"""she like the groove the grind the dirt | \u0394\u0393 | SS\u2694\ufe0f IG: cervantesydd"""
12,"""LauritaApplez""",2662,"""RT @xuhulk: Was just reminded that the word for \""toxic masculinity\"" in Chinese is \u76f4\u7537\u764c, or \""straight man cancer\"" \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d""","""https://www.linkedin.com/in/lauri-apple-csm/""","""#Agile coach & #opensource evangelist @ZalandoTech. #OpenOrgs Ambassador w/@opensourceway. Maker of @feedmereadmes. Docs, #agility, servant #leadership"""
13,"""BCJCSN""",241,"""RT @lori_wp: @JoanLunden If screening saved lives, why hasn't survival IMPROVED with mammograms?! Cancer spreads BEFORE it can b\u2026 """,null,"""Already had cancer 2wice, so do ya best. POSHMARK: @coug23"""
14,"""zuzanka199709""",36,"""RT @xuhulk: Was just reminded that the word for \""toxic masculinity\"" in Chinese is \u76f4\u7537\u764c, or \""straight man cancer\"" \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d""",null,"""kpop trash"""
15,"""bigpimpingloria""",1845,"""They always say there's a cute bit thousands of people are still dying of cancer wtf. https://t.co/hrGIQ0Dgma""","""http://bigpimpingloria.tumblr.com""","""\ud83c\uddf2\ud83c\uddfd"""
16,"""PHMECNIreland""",76,"""Most of us don't realise this link or extent of it between alcohol and cancer.  #phabsaveslives https://t.co/XhcyjdRsIN""",null,"""Network that aims to influence workforce development, commitment and\nretention, and enhance innovation and leadership capabilities of early career SPHMs"""
17,"""Carole36882562""",0,"""RT @villecannes: Course/marche Odyss\u00e9a 2017 \ud83c\udfc3\ud83c\udfc3\u200d\u2640\ufe0f\ud83d\udeb6\ud83d\udeb6\u200d\u2640\ufe0f\nContre le cancer du sein\n\ud83d\udccd Dimanche d\u00e8s 9h15 bvd du Midi\n\ud83d\udc49\u2026 """,null,null
18,"""CongaWater""",268,"""RT @xuhulk: Was just reminded that the word for \""toxic masculinity\"" in Chinese is \u76f4\u7537\u764c, or \""straight man cancer\"" \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d""",null,"""hot mess express"""
19,"""bknight53""",1028,"""RT @allentien: #IntermittentFasting mouse study shows complete inhibition of cancer development acute lymphoblastic leukemia (ALL): https:/\u2026""",null,"""Local Woman"""
20,"""Caalv5R""",315,"""RT @NWPinPDX: Tonight my grandmother lost her battle w/ pancreatic cancer -- just 4 months after my mother died at 54. I am a man\u2026 """,null,"""#THEPEACEFULRESISTANCES"""
21,"""shenbrathwaite""",1122,"""RT @nowthisnews: Scientists have discovered that earthworm slime can kill lung cancer cells https://t.co/XCXoJPt0lp""",null,"""prayer, patience & progress"""
22,"""imwizofoz""",11145,"""Natural Cancer Cure: A Million Times Stronger? Than Chemo and No Side Effects? -  Natural Cancer Cure: A Million... https://t.co/8qDatvC7Mb""","""http://makemoneyhomebusiness.biz""","""Scientist,photographer,eBay Powerseller,Internet marketer, Blogger. Love  nature, wildlife &  http://kevin-johnston.com + http://bloggingwithkevin.com."""
23,"""MaMthwa2""",640,"""RT @Luyanda_Maf: More education on cancer is needed in black communities. My people can't keep dying from this disease not knowing what it\u2026""",null,"""Focus on your focus."""
24,"""Ms_DHK""",2468,"""RT @xuhulk: Was just reminded that the word for \""toxic masculinity\"" in Chinese is \u76f4\u7537\u764c, or \""straight man cancer\"" \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d""",null,"""Woman, nefelibata, logophile & aspiring 'better human'."""
25,"""DulanWilliams""",386,"""RT @BaeilyMedical: Chinese doctors bowing down to an 11 year old boy with bran cancer who saved several lives by donating his organs https:\u2026""",null,"""Loves all things beautifull. Tourism Official. God fearing Small Town guy with City Views&Champagne taste...trying to be the best I can be...."""
26,"""MissRamokoka""",1217,"""RT @GenericSaidSlow: Nah Dr. Sebi discovered this. Yal killed Fam and stole all his cures. https://t.co/VUvrCaDXFi""",null,"""\ud83e\udd42"""
27,"""infosdebabi""",1558,"""D\u00e9c\u00e8s de L'homosexuel ARDAUD PAUL suite a un cancer de l'anus ...""","""http://www.infosdebabi.com""","""Site web culturel\nSITE INTERNET PEOPLE POUR LA PROMOTION DE L'ART ET DE LA CULTURE IVOIRIENNE. http://www.infosdebabi.com\nTel: 0022547008712"""
28,"""sonjal01""",27,"""https://t.co/7bhYGcN3Jt via @canberratimes #bcna""",null,"""Wife to an amazing man, mother of twins, try to get through each day smiling"""
29,"""i_giddi""",4277,"""https://t.co/Mtujqwl3aP""","""http://novavideoz.com""","""Entrepreneur"""
